Feature,F_Score_norm,MI_Score_norm,RF_Importance_norm,XGB_Importance_norm,Composite_Score
koi_count,1.0,0.7530923988468693,1.0,1.0,0.9382730997117174
koi_incl,0.7843858035761255,0.7642934302320495,0.84918500314757,0.16303346,0.6402244231415051
koi_depth_log,0.6019173033797073,0.9190220727967924,0.7980082991544774,0.0,0.5797369188327443
koi_depth,0.49405003686808346,0.9073301011109512,0.6528208614932948,0.13144332,0.5464110802942985
depth_duration_ratio,0.40968103677788714,0.8045813925963979,0.5548266131987029,0.03656504,0.45141352046996674
koi_period_log,0.14725619383144142,0.9984169598153201,0.6121712788114917,0.0,0.4394611081145633
koi_model_snr,0.40899840200903476,0.6172797014350847,0.521984836809363,0.060713552,0.40224412304800405
koi_impact,0.02327518267657951,0.7022011072876477,0.8085599112537039,0.07362493,0.40191528312344393
koi_period,0.0,1.0,0.5451009158881954,0.05002286,0.3987809437536312
period_sma_ratio,0.00044013929892608845,0.6125021132099829,0.8191612554445753,0.12996025,0.3905159404470522
koi_steff,0.2306384595845269,0.5492059067293935,0.373235729130624,0.04046546,0.2983863886680266
koi_bin_oedp_sig,0.2128037813434068,0.5545576021262348,0.345850466781134,0.049413726,0.2906563939961332
koi_sma,0.0011009350327080081,0.5618113289131884,0.33619443966337104,0.044202883,0.23582739660144836
koi_duration,0.1381717316242323,0.07848636407254556,0.6289999595480554,0.05074555,0.22410090144697578
koi_sma_log,0.007264018105896522,0.533308998059792,0.344058289187165,0.0,0.2211578263382134
koi_slogg,0.11636609283566511,0.3500600855165364,0.3123996988266744,0.044218596,0.20576111831247018
signal_depth_ratio,0.0054304755676847115,0.4404871676309836,0.33414482826237923,0.03903387,0.20477408565127597
koi_srad,0.029854702177725574,0.38732629055433965,0.32363726684160915,0.048429884,0.19731203589754703
koi_smass,0.1355857088857016,0.2881775810415926,0.29082311129696264,0.03594507,0.18763286756727132
koi_time0bk,0.00038378950243875027,0.38098154017532304,0.3366369195953448,0.03018121,0.1870458649402969
koi_kepmag,0.018416219159231865,0.356392858070981,0.3059264724677683,0.029709088,0.17761115934568292
koi_time0,0.00038461202881277584,0.37306505967643444,0.27095122128978893,0.025812494,0.1675533466580601
koi_eccen,0.0,0.0,0.0,0.0,0.0
